,36061,36005,35028,35031,48301,25019,25025,6057,6075,12087,51013,8065,8047,8019,48103,48443,51610
0,1994.0,2002.0,1986.0,2006.0,2006.0,1958.0,1986.0,2006.0,1957.0,2012.0,1969.0,2006.0,1930,1974.0,2006.0,2006.0,1939.0
1,1995.0,2003.0,1987.0,2007.0,2007.0,1959.0,1987.0,2007.0,1958.0,,,2007.0,1931,1975.0,2007.0,2007.0,1940.0
2,1996.0,2004.0,1988.0,2008.0,2008.0,1960.0,1988.0,2008.0,1959.0,,,2008.0,1932,1976.0,2008.0,2008.0,1941.0
3,1997.0,2005.0,1989.0,2009.0,2009.0,1961.0,1989.0,2009.0,1960.0,,,2009.0,1933,1977.0,2009.0,2009.0,1942.0
4,1998.0,2006.0,1990.0,2010.0,2010.0,1962.0,1990.0,2010.0,1961.0,,,2010.0,1934,1978.0,2010.0,2010.0,1943.0
5,1999.0,2007.0,1991.0,2011.0,2011.0,1963.0,1991.0,2011.0,1962.0,,,2011.0,1935,1979.0,2011.0,2011.0,1944.0
6,2000.0,2011.0,1992.0,2012.0,2012.0,1964.0,1992.0,2012.0,1963.0,,,2012.0,1936,1980.0,2012.0,2012.0,1945.0
7,2001.0,2012.0,1993.0,2013.0,2013.0,1965.0,1993.0,2013.0,1964.0,,,2013.0,1937,1981.0,2013.0,2013.0,1946.0
8,2002.0,2013.0,1994.0,2014.0,2014.0,1966.0,1994.0,2014.0,1965.0,,,2014.0,1938,1982.0,2014.0,2014.0,1947.0
9,2003.0,2014.0,1995.0,2015.0,2015.0,1967.0,1995.0,2015.0,1966.0,,,2015.0,1939,1983.0,2015.0,2015.0,1948.0
10,2004.0,2015.0,1996.0,2016.0,2016.0,1968.0,1996.0,2016.0,1967.0,,,2016.0,1940,1984.0,2016.0,2016.0,1949.0
11,2005.0,2016.0,1997.0,2017.0,2017.0,1969.0,1997.0,2017.0,1968.0,,,2017.0,1941,1985.0,2017.0,2017.0,1950.0
12,2006.0,2017.0,1998.0,,,1970.0,1998.0,,1969.0,,,,1942,1986.0,,,1951.0
13,2007.0,,1999.0,,,1971.0,1999.0,,1970.0,,,,1943,1987.0,,,1952.0
14,2008.0,,2000.0,,,1972.0,2000.0,,1971.0,,,,1944,1988.0,,,1953.0
