GEOID,y1930,y1931,y1932,y1933,y1934,y1935,y1936,y1937,y1938,y1939,y1940,y1941,y1942,y1943,y1944,y1945,y1946,y1947,y1948,y1949,y1950,y1951,y1952,y1953,y1954,y1955,y1956,y1957,y1958,y1959,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
40035,1.0321756858829412,1.0258785635351597,1.0195814411873767,1.013284318839595,1.0069871964918136,1.0010951521897948,0.9952031078877761,0.9893110635857574,0.9834190192837403,1.0239411711142938,1.0575288990932645,1.0828038316681592,1.0985778477891055,1.1103556541516726,1.1182007326684453,1.1822265119787398,1.2458253085797102,1.3098031801859267,1.3743109795022477,1.4387403380963155,1.4501497383539652,1.4633133963216622,1.476067119617283,1.4896508703689726,1.5016481984815806,1.6457676331689641,1.7898067018362092,1.9096368652525477,2.025205094718295,2.1376678452842746,2.1555069115958694,2.1737968747493395,2.194371907197859,2.197890945652168,2.214877605594949,2.5688706909006735,2.920784865010634,3.262390007576486,3.594601395021701,4.087830857915545,4.2506559391922645,4.382482484301089,4.475882560107408,4.556446921934204,4.629744805372863,4.571403255054441,4.51879798143071,4.467097401435292,4.419233396623119,4.375256041276485,4.322248573254889,4.320421886174802,4.319063871431578,4.228960728190914,4.137627246444663,4.046905023054145,3.952363780758316,3.762545767863083,3.8161528963145854,3.8546003667790085,3.895579023440058,3.901676929647357,3.914486094056839,3.829219025709495,3.7554087244489054,3.675781664303367,3.597536003600435,3.5202569730471422,3.4205579293216846,3.3180792360406,3.217038982541813,3.11894031733326,3.021233034424222,2.6948520558372704,2.368316687004993,2.0416268183530653,1.5329525157172128,1.2403336571080468,1.0917564943807239,0.9407632677860719,0.789770041191421,0.6393453622405154,0.488217743098671,0.48781245107715576,0.48728297275503724,0.4867534944329201,0.4867605505484083,0.48623048796195123
40041,3.1072718249048643,3.0767970171052803,3.0463222093056967,3.015847401506113,2.9853725937065296,2.9567749636732374,2.9281773336399457,2.8995797036066535,2.8709820735733613,2.8432533553900132,2.834080365497281,2.8367151829150967,2.8430978405711875,2.85352690081009,2.8648884077269594,3.059599416102972,3.2512013205067234,3.443839668447612,3.63898338604041,3.8313450576452817,3.7108097678462637,3.6073125637242036,3.4988717014720843,3.391212039196442,3.282754826155629,3.5692571824736725,3.8563486569512775,4.1531254903016,4.4505727794834975,4.751368881785675,4.627119169079315,4.504247858809891,4.3733975309694895,4.1927848723049825,4.020201814502532,4.418521470048469,4.816251376511497,5.216076553574889,5.615551577609781,6.045370486492505,5.827751558033167,5.609752512939924,5.384524077671527,5.163318155260985,4.942180825537176,4.850614192950446,4.7609710931284885,4.670718746821687,4.583190728337532,4.51003005204345,4.4376163264892226,4.380406776682749,4.32574248634521,4.504352522128129,4.681582352032912,4.860018069118058,5.036713962603745,5.196282845284182,5.147418988891761,5.0973906035897345,5.049217686825669,4.996309842552172,4.945939283737269,4.983177483245344,5.0412633209732824,5.092645948558662,5.139604569598975,5.188747407494479,5.003837428689753,4.8201953216244044,4.632628798425475,4.453118364544117,4.272758275901321,3.7402655787689456,3.207703422199,2.6753471530607182,2.548125041866006,1.916046539334967,1.637689576851028,1.3555096376175908,1.073329698384151,0.7945643554137122,0.5111665297373381,0.5904116369568017,0.6686303846293379,0.7468491323018716,0.8275603391005895,0.9060153788846074
40131,3.465097917831936,3.4293722482104987,3.3936465785890855,3.3579209089676483,3.322195239346235,3.289584614487422,3.2569739896286327,3.224363364769843,3.191752739911054,3.2433438039425226,3.2886601217368443,3.317137128679292,3.326671666515272,3.325578425281546,3.3168836983034944,3.4555552518758685,3.595538665704426,3.7327166427521656,3.870842060818538,4.010728888146289,3.551722459799144,3.0945701036822713,2.6364512520979217,2.17563614145615,1.715787133970379,1.8497581165300052,1.982867619669288,2.1011826521955483,2.2128804749149587,2.3259825128567706,2.2238992957625383,2.1257423463102847,2.030269135796656,1.9398536573670748,1.854363404582144,2.859309936680674,3.856544308825632,4.892849008848208,5.993206887335396,7.144816978374351,6.833129313846047,6.493108796222768,6.139943075079538,5.753703922126106,5.349398606555554,5.401654775854968,5.455353501002051,5.5076080980627875,5.5647732079599965,5.549427908340357,5.53342715277649,5.574161115227299,5.615895690728833,5.413699837424334,5.2108117016088285,5.007282627006234,4.804820078593862,4.481123395684785,4.461842998474683,4.439618873804962,4.424007921889157,4.400420676671088,4.390667056353601,4.447613572809495,4.519593483063818,4.586796225527294,4.652705008244432,4.716558294424116,4.736921613216283,4.759819479232066,4.777090339879632,4.794739751850176,4.811693982396144,4.106653751217132,3.4017004467230496,2.6965178269432886,1.962111426398728,1.264559145261848,1.0721976878809791,0.875157530095856,0.6781173723107305,0.48401410639510545,0.2857710530666225,0.3158005136516468,0.345915050465626,0.3760295872796051,0.40854626423009877,0.43883891352504706
20021,0.6283211580991555,0.626272546728291,0.6242239353574278,0.6221753239865634,0.620126712615699,0.6179334933833626,0.6157402741510248,0.6135470549186883,0.6113538356863518,0.6162805952010626,0.625418638091354,0.6419064804364351,0.6618085423032104,0.6953643181670689,0.7395868042474851,0.7337379607722013,0.726957464902079,0.7215038809137919,0.7152576379384967,0.7091185085960661,0.6857783374846077,0.6669121907015351,0.6507885461974553,0.6336013928461447,0.6160436746070636,0.6695384937601798,0.7235179784964624,0.7576342743565024,0.7925606614522972,0.8305108656708992,0.7757556243523765,0.7257632781527426,0.6764654028300293,0.5969463421474699,0.5259191088902341,0.7280908165421786,0.9322289368798564,1.140267545164797,1.3496539818869695,1.5814875631015888,1.6403371778587066,1.7025497783952526,1.7642692650332956,1.8290696582714951,1.9030835281840053,1.9177561086841413,1.9321904579348916,1.9463923312730333,1.9593957524575483,1.8172086428247285,1.6799434287676385,1.5588952222348749,1.4350783277843415,1.420709959011179,1.4059717991331957,1.390871427211039,1.3757195607033712,1.3425414143385292,1.3582442667467287,1.3812935534602164,1.4124417094622905,1.442278263343933,1.4743239265213648,1.4775714875910864,1.4831161748313917,1.4875499784403015,1.4919037630214667,1.496652732602926,1.425055025062613,1.3532986309154273,1.281542236768247,1.209978279393489,1.138270824888007,1.0039757299132341,0.8695423122841927,0.735268576936444,0.6035247967924079,0.4686858210932315,0.40495916812530147,0.34128240719708675,0.277605646268872,0.21423676231438996,0.1504683606130268,0.15476850849145432,0.15902854430957633,0.16328858012769967,0.16767377231244554,0.1719369903150451
40105,1.8440014286293658,1.8380785118350522,1.8321555950407424,1.8262326782464287,1.820309761452115,1.8149396502252706,1.8095695389984303,1.8041994277715858,1.7988293165447415,1.952036052897463,2.047115530456883,2.0864721596842126,2.0966485998789284,2.1037121482372485,2.106714624526011,3.362656908707548,4.620846847537455,5.87653988648545,7.131735522764071,8.38809506078289,7.1868130630545775,5.988852425476997,4.788995531502116,3.5900880791841616,2.3935488840268477,2.5278343121188613,2.6625932414737887,2.7037505207531902,2.7642337954920437,2.7943453495525317,2.5165758180096818,2.249574263427365,2.004409111890591,1.7853709229730108,1.575827868919735,2.546546478197841,3.4780040131170047,4.3825957103249324,5.359929268224744,6.565221711401758,7.897784741219945,9.158903644236657,10.41021999591341,11.662009128418845,12.900136441121383,11.612572042998679,10.335472497272773,9.08104850407022,7.946958648618449,7.200860824218404,6.514077985542229,6.008596152023267,5.504293108811245,5.741555697720514,5.97821436216989,6.217845115356743,6.456944901032436,6.287843464403967,5.880006885651038,5.472948871327918,5.0449452281323355,4.689328026147967,4.377503987636845,4.6132362292014255,4.852382144029065,5.091859275843076,5.345998208423334,5.592731852973978,5.527788044792914,5.440089501004561,5.367580591520985,5.2723933931605655,5.177605341957291,4.582447078601623,3.9857599397851367,3.3877264159746936,1.9417979759534245,1.5230727010498222,1.310715755980849,1.0957024818060532,0.8806892076312574,0.6657243110679061,0.45069541092841736,0.44021673063364486,0.42960699613389364,0.41899726163414064,0.4093994186897418,0.398763395677165
40115,0.36999833466520876,0.36764755917714476,0.3652967836890807,0.36294600820101525,0.3605952327129513,0.3582959340603918,0.35599663540783233,0.35369733675527293,0.3513980381027135,0.3508780654014076,0.35199434493181303,0.3550637346829228,0.35807734335676816,0.36353612079545755,0.3708601543858717,0.6688861759685963,0.9667567506691201,1.2647362512847602,1.5629110478008423,1.8611318909228274,1.877935161822606,1.9002796060793516,1.9207860859626462,1.9432981513969525,1.964686222575599,1.8844637858097,1.802969435589297,1.7141821106462043,1.62716479034854,1.5420624791458337,1.5257065362794233,1.509378420398015,1.4919252825512144,1.4421788423582562,1.3974982707562542,1.9602107940151927,2.521587932685261,3.0761060952964887,3.6331953100992314,4.207650409072295,4.197512393615404,4.179633838811937,4.159851337760176,4.147923714933102,4.133165266031035,3.931802022599108,3.7331289740427405,3.53319415553164,3.338667827188233,3.3602444310677444,3.38768864097045,3.4201418459609716,3.4519298290590488,3.5008591319213984,3.548654055317308,3.5928726705109595,3.6371238808801727,3.671120679795338,3.666914156804887,3.6678285519077254,3.659620989528845,3.6583975189076154,3.6515828541750808,3.593555101086695,3.530179832249546,3.4705572493042527,3.4163416368390105,3.3559786980695305,3.218548939319281,3.0830023365344084,2.950830443990339,2.8141423244829147,2.677650326730907,2.3033835603088244,1.9282770507502895,1.5530017456795107,1.2569057991829287,0.8564004772595947,0.7349388224812761,0.6117995300339787,0.48866023758668137,0.36672785392050483,0.2431819694698453,0.2887741467915737,0.3340983760909068,0.37942260539023837,0.42504790750300836,0.4704042639239981
20099,0.5624112001155542,0.5625123653392234,0.5626135305628914,0.5627146957865605,0.5628158610102297,0.5628383421710447,0.5628608233318597,0.5628833044926747,0.5629057856534909,0.5788942103378588,0.6011527352844183,0.6361164271502143,0.6822307124514564,0.7380103198520948,0.8121339387960079,0.8519252351170452,0.8915953328135905,0.9333001127616806,0.9754101042375956,1.0172270770449388,1.0642218234388992,1.129484290839921,1.1902937717962279,1.2557574067181494,1.3201345981904662,1.3780013423625141,1.4425773847476036,1.439695630270918,1.4369814366649887,1.4367487143639985,1.3976724293338392,1.3594220429812653,1.325481958253342,1.2521282699037108,1.1822126483825883,1.5322107277591348,1.8569502021127164,2.1638360963295407,2.4776179982129647,2.9077209545807703,3.0666612243795015,3.2456094651346974,3.4383571321848985,3.655713312689119,3.9112575882414378,3.770940286323197,3.6229812580464733,3.48604809032968,3.364352500785914,3.2325371439163213,3.100679167932543,3.049160222631987,2.9883753708676406,2.9586615162093395,2.923613223063041,2.878077444836789,2.8370951082357774,2.6782551500878378,2.8151027473229653,2.9307407906808036,3.058478766014627,3.1860839883823253,3.319224665911602,3.1769912904164523,3.0315514243514667,2.8880907079916436,2.744616280390647,2.6023718059176826,2.4653904478137574,2.328087704316773,2.1901677892513245,2.0513158080083533,1.9125155545493049,1.771913048910418,1.631100215316992,1.4903318289617768,1.2785613686105188,1.1449534723427526,0.9974440080976676,0.848790266544104,0.7001365249905419,0.5525873053756755,0.40363583681458626,0.36031876638668237,0.31685465863377005,0.27339055088085773,0.2300311884439333,0.18654728017726172
40097,1.8442119038767286,1.822342388811307,1.8004728737458857,1.7786033586804642,1.7567338436150428,1.7367770321180476,1.7168202206210519,1.6968634091240566,1.6769065976270612,1.6639682815178414,1.6684769904684815,1.6756801735494524,1.6781540415573433,1.6764758322152273,1.6724253638405446,1.872113530800041,2.072875855504418,2.272895578610283,2.4718400247586327,2.6696562522872695,2.8671753215097993,3.067723726490841,3.2677443099339296,3.4700512487395128,3.6723297158802,3.7166480165402214,3.7612668213063203,3.7938855817703474,3.833354555973811,3.871133123236905,3.6466019774874145,3.417849760256969,3.18998626618568,2.948592268128523,2.7128632096064242,2.9976926397964636,3.2823549289486413,3.5619405645805036,3.8447876157282828,4.149057540335228,4.210266208552499,4.276665628112543,4.336712491556979,4.3905682175788,4.446316115828988,4.408007821172702,4.372555571938617,4.334109267948821,4.303398190759023,4.118644043827465,3.9307749888267822,3.7567683844655515,3.5827470201935707,3.7048667177447614,3.8256371386151056,3.947043738969146,4.067658905164382,4.162522862074844,4.1141037516277725,4.07447144763726,4.03300094575413,3.9935426538250387,3.947451494946916,4.045599006073396,4.148494305489717,4.249673466795607,4.3481755521094385,4.452947186436207,4.362766999681951,4.270209410057165,4.1773844237849795,4.087432580394676,3.9959311942477114,3.4506362863709894,2.9039919124323617,2.356841726299541,2.014826478839635,1.402920072660726,1.2392626452164,1.0712509125871648,0.9032391799579335,0.7371258762512239,0.5686803209543172,0.6426738574226138,0.7148922743395489,0.7871106912564823,0.8608155400018058,0.9331588773391927
40075,0.7240551554020423,0.7196039801058053,0.7151528048095667,0.710701629513328,0.7062504542170909,0.7005309767039574,0.6948114991908237,0.6890920216776902,0.6833725441645566,0.683169355224375,0.6843242056512328,0.6854720015411938,0.6870409499777773,0.6885382260172787,0.6896944720742523,0.6875152871633878,0.6857176093056631,0.683574904849929,0.6816918275244066,0.6795611831334728,0.7743824986058044,0.8670477569197476,0.9606664500366645,1.0535892408911334,1.146733570747975,1.1456696767283965,1.144520730351463,1.1429994131570431,1.141270028999883,1.1396197219456683,1.1317675870805197,1.1232871271770668,1.1147530185660943,1.1030616499814572,1.090870622858014,1.4689172004284887,1.845018138056188,2.2185071360624224,2.5910048698601553,2.9784628074841026,2.9833844804744065,2.9875908350736444,2.9883762260632416,2.9914346547154747,2.9945121604204115,2.76587377549911,2.5365748421911576,2.3073756546672914,2.078803533502684,2.0085859976724407,1.9451716891363693,1.8718319298344193,1.7996482148107777,1.8294932690010222,1.85909051750186,1.8886362776028698,1.9182001432824718,1.9523063047862974,2.059595983975033,2.167238057890912,2.27550536636063,2.382983561125596,2.491253693798927,2.601271023030093,2.718515241643665,2.832099801163956,2.946037818773041,3.0590578671778963,3.1371502244338574,3.215572770007029,3.293047085026994,3.3730537148421234,3.4531563493632658,3.053714767816384,2.6541100173278442,2.254428886488734,2.4737602664640055,1.9414656815665523,1.5881042680899833,1.2403480870690924,0.8925919060482037,0.5423304932233772,0.19617334435968625,0.24798927945612875,0.30024584285292416,0.3525024062497196,0.4019544131675444,0.4538488932149054
40141,0.9014996245598837,0.8972890379081939,0.8930784512565025,0.8888678646048126,0.8846572779531214,0.8802122875084503,0.8757672970637793,0.8713223066191084,0.8668773161744372,0.8662557475015978,0.8649085835674986,0.8640880583535816,0.8618612025656014,0.8596190492751612,0.8567581565752067,0.8029920793476184,0.7488202841089069,0.6942247912813524,0.6399254825564693,0.5852721399238605,0.6036885870599766,0.6219486072118388,0.6401309684408542,0.6582764894480425,0.6765322669496387,0.7911447538323843,0.9057495282946977,1.0203970226938135,1.1354259160293345,1.2502398573938456,1.2037572161170274,1.1573158743352228,1.1103661347303113,1.0616179338621163,1.0132449218390414,1.331862038334683,1.6494053149212842,1.9666442282609464,2.2837139462125053,2.6066824956852592,2.508361281291192,2.4099560780767164,2.3106702208174226,2.2119792608735134,2.112512922485373,1.98069360305048,1.8488742836155874,1.717119059703639,1.5851764742913677,1.6022732709875254,1.6205193292736393,1.636466864379854,1.6525150717654353,1.6342187811248616,1.6165465943309403,1.598286734221299,1.5804604806520526,1.5635191906185226,1.5569260219813228,1.549805389845569,1.5430267423816757,1.5365859858436104,1.5293370670137776,1.618106970958298,1.7118203592531063,1.8031594833031865,1.894289399004867,1.9843772732792864,2.207847883347949,2.4299531291632843,2.6525167209671574,2.876164065002872,3.0996962043926084,2.881220894980982,2.662959747006526,2.4441373358821696,2.8963846162787164,2.612280869264916,2.364082484808815,2.1246953402143336,1.8853081956198523,1.6352051113949815,1.397376521621935,1.4683109183341376,1.5441780948297708,1.620045271325402,1.6828274469219142,1.7581092617888097
