StateFIPS,CountyFIPS,GEOID,AREA (HA),y1930,y1931,y1932,y1933,y1934,y1935,y1936,y1937,y1938,y1939,y1940,y1941,y1942,y1943,y1944,y1945,y1946,y1947,y1948,y1949,y1950,y1951,y1952,y1953,y1954,y1955,y1956,y1957,y1958,y1959,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
01,001,01001,156535.283,1.09651167992113,1.19763685279452,1.2987620256679,1.39988719854129,1.50101237141468,1.60213754428806,1.58027601834261,1.55841449239716,1.53655296645171,1.51469144050626,1.49282991456081,1.47715207738278,1.46147424020476,1.44579640302674,1.43011856584871,1.41444072867069,1.63261875760629,1.8507967865419,2.0689748154775,2.2871528444131,2.5053308733487,2.81584261865249,3.12635436395627,3.43686610926005,3.74737785456383,3.67667143350598,3.60596501244812,3.53525859139026,3.4645521703324,3.48296022661745,3.43420068278542,3.46358405025114,3.40479167672498,3.45967486453263,3.43790083067489,3.18384513428866,3.05637944245759,2.9071082484338,2.71037391503319,2.53564955902677,2.74277819667311,2.88033604768456,3.06214941382148,3.2371595190681,3.398081507743,4.33782711297525,4.11443042479125,3.59818063683383,3.15105257457624,3.1674080485533,3.27360372990239,3.7904946206535,3.17571631002325,3.38856292750712,2.72925673752353,2.3306959112491,2.06432197956553,2.42930040751765,2.72928244312696,2.78225855236233,2.74632647730761,2.80514555826327,2.96416147402377,4.08962832265856,4.64556877960656,4.94071886505766,4.88638518769323,2.47868109203544,2.92443206311953,2.51509498013453,2.5903490215777,2.3616798581562,3.37990010113155,3.44563999673671,2.47005122078333,2.94047752883494,2.75195382338092,1.96094186024463,2.82156581253118,3.04812615459361,3.06245809504179,2.90541411238809,2.7487644253428,3.23135223165503,3.46856206674265,3.26192785354622,3.45195665672498,3.22589090706433
01,003,01003,435268.779,1.01046236486503,1.06965958219549,1.12885679952596,1.18805401685642,1.24725123418688,1.30644845151735,1.24231064700452,1.1781728424917,1.11403503797888,1.04989723346605,0.985759428953227,1.2174954250204,1.44923142108756,1.68096741715473,1.9127034132219,2.14443940928907,2.05611518479714,1.96779096030522,1.87946673581329,1.79114251132137,1.70281828682944,1.91843561721416,2.13405294759888,2.3496702779836,2.56528760836831,2.47119187975881,2.37709615114931,2.28300042253981,2.18890469393031,2.14981376514641,2.26146703082747,2.42434927163879,2.52485810101292,2.71007837231614,2.83721019729151,2.73966893496097,2.74976013250196,2.74300444210856,2.6913998482521,2.66030271421263,2.75444506565265,2.7774950311754,2.84323780550354,2.9013927049793,2.946450134471,4.47335001722398,4.37993007531775,3.23738781099192,2.97188338450819,3.56737210746706,2.80519719036789,3.82410557537748,3.1464344674353,2.75863311955727,2.94451102471125,2.23629691051399,2.2119966048232,1.88681396485013,2.21414876742295,2.05733676703132,1.84576895860805,2.02599564787632,2.16298572511384,2.24357388007095,2.44759675859775,3.19144777578048,2.88949175254687,2.37227971700087,2.12076241375541,1.88365669906767,1.81341127715616,1.60802432025168,2.3629709398338,1.67519455215732,2.03028827215362,2.0603855186881,1.96376022171329,1.04587557345572,1.20283212728218,1.4382916287371,1.65051420629861,1.66492499880994,1.4129414718222,1.27990859864116,1.34017137893138,1.04015634352786,1.09913095546034,1.65961860629388
01,005,01005,234253.859,1.06093313004002,1.32679245491629,1.59265177979257,1.85851110466884,2.12437042954511,2.39022975442139,2.22169914942133,2.05316854442126,1.8846379394212,1.71610733442114,1.54757672942108,1.67616583145307,1.80475493348507,1.93334403551706,2.06193313754905,2.19052223958105,2.19903641576233,2.20755059194361,2.21606476812489,2.22457894430617,2.23309312048745,2.44871254547051,2.66433197045356,2.87995139543662,3.09557082041967,2.95241579933244,2.80926077824522,2.66610575715799,2.52295073607077,2.442283602469,2.51432172997816,2.64339979883697,2.70469187797634,2.85659571268042,2.94667358682598,2.89662204332224,2.95980049437195,3.0060071289096,3.0030386963263,3.02244002493758,3.24064974694021,3.3763747009195,3.56398071354631,3.74337255188355,3.9063636404228,4.17675209038768,4.64186759034807,3.13491523570333,2.91083047212908,2.78127262939073,2.5684984621781,3.10409320554843,3.19993681980287,3.46316151183925,3.73685772993017,2.98321335108167,2.67494253234184,2.35817689736843,2.91937847819212,2.48649749157556,2.44169265653741,2.41232078491019,2.30079930794207,2.3754563979308,2.65637481309741,2.79084301691781,2.4257628904937,2.03823319635742,2.09932988599214,1.74135111040051,1.92685504454001,1.9444211026398,2.10768354552597,2.50530362257041,2.11933091966421,1.97448242414221,2.02931317960686,1.75949906057,2.16382198646998,2.29899570345967,2.37962073856673,2.22963890396294,1.89551426264119,2.33934586820081,2.36954625784218,2.2149499401013,2.39782304390851,3.39572832228592
01,007,01007,162235.375,0.819928223612563,0.8875723020606,0.955216380508636,1.02286045895667,1.09050453740471,1.15814861585275,1.08345074312804,1.00875287040334,0.934054997678635,0.859357124953932,0.784659252229229,0.82818779468866,0.871716337148092,0.915244879607523,0.958773422066955,1.00230196452639,1.03015540859323,1.05800885266006,1.0858622967269,1.11371574079374,1.14156918486058,1.22062292627322,1.29967666768587,1.37873040909851,1.45778415051116,1.47810148958156,1.49841882865196,1.51873616772236,1.53905350679276,1.60031628893245,1.65012909842199,1.73737272120359,1.78005297872531,1.88237475408074,1.94398649640991,1.85388412725074,1.83687285062669,1.8080801236937,1.74973657403565,1.70495793939716,1.81819156573802,1.88504750507185,1.98087032594764,2.0720235012308,2.15405974142004,1.64335899429374,3.32820966526418,2.08976975178484,1.39591650733077,1.48416817784212,1.68902171891207,1.961707155884,1.15583426413821,1.10446755611728,1.4318753250485,1.25374840108571,1.26770165184494,1.42492927250195,1.29355677642757,1.47665478762707,1.17978647360263,1.07111434487177,0.977741425390557,1.09841988572268,0.841489554596548,1.30186083879023,1.15021269136788,1.16037220142416,1.3425728184849,1.19236156476746,1.22899716737912,1.07085951953449,0.866864528024102,0.886684814994322,0.69656949099729,0.452705499308128,0.473268366588071,0.721382452964306,0.903425202427019,0.933746728089443,0.859550173078508,0.71263322984048,0.70982418232432,0.0639531478788143,0.123348113860027,1.08030548478828,1.18560382570796,1.74035121182029
01,009,01009,168509.562,1.3992094858685,1.51896766040023,1.63872583493195,1.75848400946368,1.87824218399541,1.99800035852713,1.81169052402065,1.62538068951417,1.43907085500769,1.25276102050122,1.06645118599474,1.28403507867592,1.50161897135711,1.7192028640383,1.93678675671949,2.15437064940068,2.30522881499297,2.45608698058526,2.60694514617756,2.75780331176985,2.90866147736214,3.08236595168595,3.25607042600977,3.42977490033359,3.6034793746574,3.4640516162273,3.32462385779719,3.18519609936708,3.04576834093698,2.98265431068558,3.06047284728624,3.20773704786758,3.27278677562136,3.44745419942497,3.54738830579115,3.58702831661715,3.76579786749607,3.92515904193747,4.02026078891985,4.14438027135767,4.60873272574165,4.95743628045583,5.38229159431429,5.7964871757425,6.18593715789837,6.5407765268916,5.69427791331199,5.14096206795453,5.19038432621545,3.82295506309455,3.93556631006787,5.68977230947995,5.7073915629187,4.70037432445919,4.58333130060948,4.72391875074548,4.61684648192294,5.02242875946985,5.2078753322294,5.38341567272127,5.16042394306712,5.83748248806585,6.1661545430982,6.66404812523631,6.71618785649643,6.97310899908,6.48201437890147,6.24113337703863,6.02154176097537,6.05186933412846,5.79437855847232,5.17032339769918,6.02306615444417,6.24846778426225,5.19751383301764,4.5941585459775,4.82443099239638,4.21898382277007,5.77811820334344,6.23312685556569,5.98342223795958,5.58392416497551,4.40361027284452,6.46264083391374,6.31871465414162,5.56543943399672,6.2115034998603,9.37658052563834
01,011,01011,161913.11,2.94541230476306,3.08985979288183,3.23430728100061,3.37875476911938,3.52320225723816,3.66764974535693,3.5943390218719,3.52102829838687,3.44771757490184,3.37440685141681,3.30109612793178,3.36649605670797,3.43189598548415,3.49729591426033,3.56269584303652,3.6280957718127,3.65865197122244,3.68920817063218,3.71976437004193,3.75032056945167,3.78087676886141,3.89085795102542,4.00083913318943,4.11082031535345,4.22080149751746,4.06639003133029,3.91197856514312,3.75756709895595,3.60315563276878,3.53930014837897,3.56974656311371,3.68129081107146,3.6987476166725,3.83992800177759,3.89713170062961,3.72470031866832,3.69902659076949,3.64981843693764,3.54095421443049,3.45945505091701,3.7275229777518,3.90089746564293,4.13421014783043,4.35818787738484,4.56314328422188,5.03437476468678,6.67483120433629,4.87257867046358,3.94211837313871,3.38619547084481,3.10312215796067,4.11463334070213,3.70524745231658,3.6718544476832,4.04745368846945,3.25676599478745,3.13663884549912,2.93243854710393,3.24621969697177,2.91902657062002,2.64237883987247,2.70790802303083,2.24227707654007,1.98272980846509,2.03127950378227,1.82781822423077,1.78812787904965,1.56957801318901,1.63353392179296,1.67064040803957,1.79614029355217,1.70281919360586,1.4029312734333,1.72618888777799,0.751216188256607,0.905028883167813,1.34517749735715,0.943759550007073,0.925294074881889,1.03852121305642,0.988785528482376,0.920450130883057,0.98989119393662,1.00765434250635,1.06742422833968,1.01203328054048,1.05941792845334,1.55979522305669
01,013,01013,201457.722,1.39039934725831,1.57253438217141,1.75466941708452,1.93680445199762,2.11893948691073,2.30107452182383,2.1074862846087,1.91389804739358,1.72030981017845,1.52672157296332,1.3331333357482,1.41214101942486,1.49114870310153,1.5701563867782,1.64916407045487,1.72817175413153,1.72433784319145,1.72050393225137,1.71667002131128,1.7128361103712,1.70900219943111,1.96961108232037,2.23021996520962,2.49082884809888,2.75143773098813,2.69587028761603,2.64030284424392,2.58473540087182,2.52916795749972,2.53855149695256,2.61374059302659,2.7482245660664,2.81223315569843,2.97045711892996,3.06439444938043,2.91957670735597,2.88989726056483,2.84161764412271,2.74689678696677,2.67350071589379,2.8387323271665,2.93143028941072,3.06917633104947,3.19955496761767,3.31580603488332,3.12367504339766,3.39830719483274,2.70862896107127,2.31306493413643,2.93934178006085,2.84278878396056,3.23578033232415,2.76125298363994,2.89113243298099,2.86607879712138,2.4997471344894,2.17513796911732,2.46020384817269,2.05359715035235,2.20107863687044,2.10977127567754,2.15104067700539,2.22736668831989,2.19341749805212,1.98921700277683,2.40584174860529,2.00114934230717,2.10072682699693,1.58459856442575,1.39911624156051,1.57322369948404,1.42705739638666,1.72403985191531,2.22183645953427,1.85113116330997,1.42511767497828,0.990310762563338,0.533285787222511,1.18230278620934,1.33538497973849,1.18798648873612,1.05145505704537,0,0.764577331461548,0.597594619165095,0.430125671697753,0.249678350435669,0.067906084482991
01,015,01015,158561.122,1.06541184026098,1.11603123382894,1.16665062739689,1.21727002096485,1.2678894145328,1.31850880810076,1.21794823452057,1.11738766094038,1.01682708736019,0.916266513780003,0.815705940199814,0.91404690577946,1.0123878713591,1.11072883693875,1.20906980251839,1.30741076809804,1.3571053249991,1.40679988190016,1.45649443880123,1.50618899570229,1.55588355260335,1.73607256320304,1.91626157380274,2.09645058440243,2.27663959500213,2.17546246364401,2.07428533228589,1.97310820092777,1.87193106956966,1.81724980849096,1.91421543414389,2.05453983366796,2.14199471894822,2.30132189318246,2.41135015652433,2.42602117532809,2.53491996534181,2.63050009866878,2.68302131954992,2.75501093856644,3.07048291082516,3.30897166553814,3.59828900972968,3.88054502486321,4.14625840899349,3.48635663218594,5.84184491513642,3.28805294685223,2.26360838789046,2.5416347152276,2.85591163679594,3.05941622905025,2.33121070784467,2.37787247384942,2.85944202576524,2.2473843195266,2.26023773089234,2.06805477007332,2.7640593913798,3.06207426450281,2.62436741860804,2.69242203214364,2.62290063697352,2.58810362135113,2.48705723441035,2.52933194281031,2.50444528500656,2.93377002685453,2.34270806516388,2.13944652154435,1.97829133071579,1.86615802144846,2.04426671014648,2.33402092628687,1.96168953390895,1.92779856955774,1.73279934195501,0.787152657770734,1.77120254237916,2.11331335770532,2.16878643484407,2.09365560819263,1.95776723472942,3.26160918946191,3.44109725030412,1.51097120539507,1.63197321493509,3.67614881356799
01,017,01017,156222.119,1.68470362699157,1.79586965491417,1.90703568283678,2.01820171075939,2.129367738682,2.24053376660461,2.10063732943849,1.96074089227237,1.82084445510625,1.68094801794013,1.54105158077401,1.68733255332757,1.83361352588114,1.97989449843471,2.12617547098828,2.27245644354185,2.37047783978442,2.46849923602699,2.56652063226956,2.66454202851213,2.7625634247547,2.95973289995527,3.15690237515585,3.35407185035642,3.55124132555699,3.40683815752914,3.2624349895013,3.11803182147345,2.9736286534456,2.90351435092443,2.87916697040947,2.92030673117836,2.88702621852469,2.95018229141522,2.94819549998524,2.91374269457466,2.993018855298,3.05547449558016,3.0679383251973,3.10310999565332,3.43243059284632,3.67544198959147,3.97491474688491,4.26633889861316,4.53948571199677,6.07123118793358,6.13144182657377,4.04488099198848,3.14069066275047,2.97341236411083,3.22454468771617,4.06114139348758,3.23727325367668,3.09263666375262,3.30934569841057,3.25743435638699,2.84541815598764,2.87634539950555,3.08585583599614,3.01828376463364,2.87921990712464,2.76670311246468,2.49456603011196,2.55624285517338,2.957433400089,2.78389710081199,2.42255025042233,2.78211890924621,2.25353584357481,2.42650889059212,2.09357409509108,1.95136204996669,2.05995302394916,2.83485828909656,2.03963465945145,1.94519125585001,1.84648438061128,1.86201046161747,2.3257190948292,2.52928930640826,2.61711179824891,2.42270872664798,3.19241730367106,3.34470840611569,3.53411589844439,3.33130680048188,3.49561930466273,3.92133862595022
01,019,01019,155384.303,0.951675050738001,1.01251933332072,1.07336361590344,1.13420789848616,1.19505218106888,1.2558964636516,1.15660765505229,1.05731884645298,0.958030037853673,0.858741229254363,0.759452420655053,0.801798027871362,0.844143635087671,0.88648924230398,0.928834849520289,0.971180456736598,1.02743153080997,1.08368260488334,1.13993367895672,1.19618475303009,1.25243582710347,1.42562495617165,1.59881408523984,1.77200321430803,1.94519234337622,1.87805599434234,1.81091964530846,1.74378329627458,1.67664694724069,1.65177259428243,1.73447572159187,1.85647457184367,1.93072278825828,2.06974113011726,2.1643625687467,2.15393000861071,2.22740838490478,2.28869052325612,2.31251947189115,2.35332951122718,2.56795682344484,2.71767053051552,2.90913727882902,3.09437177778444,3.2662251281662,2.89971411229074,3.98858110664433,2.31036351987217,1.62923521002149,1.79930265504919,1.613293792726,1.98924277819318,2.57499198680405,2.66490318279294,2.91212657023788,2.37894860550374,2.24423876663343,1.68817972602115,1.94954546119934,2.06234625291959,1.71609179222873,1.84575848377085,2.66186375611031,2.35382047696756,2.22344972202001,2.54350779909484,2.65782269053192,2.91838157771218,2.60676749400057,2.59992135119613,2.11341908220889,1.93727078257845,2.87671046972567,2.81296452666398,2.46838685792798,1.82506866117478,1.78764961797347,0.0204863507388233,0.162806773041089,0.284855239962569,0.479398021351847,0.314106848183222,1.40463808377049,0.257948610062273,1.32907130856899,1.20326807132636,1.45382159857541,1.24885300351439
