GEOID,StateFIPS,CountyFIPS,AREA (HA),y1930,y1931,y1932,y1933,y1934,y1935,y1936,y1937,y1938,y1939,y1940,y1941,y1942,y1943,y1944,y1945,y1946,y1947,y1948,y1949,y1950,y1951,y1952,y1953,y1954,y1955,y1956,y1957,y1958,y1959,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
1001,1,1,156535.283,1.77755271179714,1.51316691421309,1.28188775270789,1.37451231482686,1.46348826845295,1.52049403782584,1.74539934945362,1.82586686770082,1.5441202731486,1.70169829076327,1.90945589014019,2.08058160978171,2.23840261874069,2.31317666287451,2.48988370677819,2.40312084354942,2.29873923869468,2.53108756211481,2.62933083177968,2.20380812796905,2.58738678742504,2.66536457897525,2.59671017838943,2.65860568127533,2.53342401734846,2.77693498929291,2.91077836006199,2.88599324294334,2.79652756830028,2.88091285468328,2.94692425710878,2.93653544255784,3.04531332158024,3.17990435802409,3.31932905305533,3.45688084557127,3.63116171436033,3.76759574669249,3.9058802515697,4.10303595167837,4.41310786031928,4.44151541763219,4.65374779607261,4.8629820351572,4.6879348090515,4.49203892560483,4.70283204762131,4.83453709456054,4.98599546862722,4.99714316383805,4.81508283370301,4.62402808550048,4.39052088028446,4.42633406610598,4.56224099413742,4.57994197898762,4.58290647338808,4.00203541027584,4.53230919019948,4.91951300061075,4.09084260488959,4.98751462789428,4.82125017628229,5.47117830540423,4.54120245809845,4.77606515533371,5.79127288993081,5.44167304422139,5.11721547886208,5.0998021690898,5.92000462207079,6.07856366383336,4.78075491525279,5.22993189666736,4.50433260701743,4.33823813251206,4.36826947941889,3.87079792094371,3.69198545596097,3.83493159776883,3.92044094698978,3.38405926034371,2.87075945621575,3.00349111886735,2.99405289964473,3.27029936744812,3.22389361833004,3.49832978908052
1003,1,3,435268.779,2.19770739013927,1.87082953310465,1.584883626099,1.69940157165768,1.80940849833331,1.87988854643536,2.15795403623241,2.25744141477504,1.90909924248132,2.10392349243853,2.36078811787437,2.57236229860223,2.76748697502193,2.85993513045095,3.07840987592512,2.971139141031,2.84208517663299,3.12935296007364,3.25081768983439,2.72471549065337,3.19895946046165,3.29536862325006,3.21048659273042,3.28701214564704,3.13224167605919,3.43331058899244,3.59879010648195,3.56814660730715,3.45753420576094,3.56186538326815,3.64347969826493,3.63063531150675,3.76512468390318,3.93152859050807,4.10390867274388,4.27397316024567,4.48944826304043,4.65813078881473,4.82910117764958,5.07285796542935,5.45622061935919,5.491342783798,5.75373987808938,6.01243017202809,5.79600757039007,5.55380837826971,5.81442602351399,5.97726178813351,6.16451991318134,6.17830255489164,5.95320918335136,5.71699541075308,5.4282948241836,5.47257306281023,5.64060389425819,5.66248880656478,5.66615400940725,6.20210022599238,5.38969797134045,6.42638536554955,4.94042094130937,6.54051362935654,6.17555090156674,6.29394730611727,5.34757242080826,7.85240379261751,6.27609347019659,7.16850185821847,7.75275263493245,8.59514241133075,5.55119869871944,4.28039658595837,3.96996592021558,4.56486425672199,3.93736826634095,4.28183415093909,4.11337272580039,3.61608759217546,3.22284069265738,3.47865854052443,3.82186954171949,2.87762378685285,3.02841620879601,3.16702020582011,3.8354529397381,3.61426784980865,3.62952854532528,3.9020547867647
1005,1,5,234253.859,1.66419299659193,1.41666785158911,1.20013803602855,1.28685565996609,1.37015735780431,1.42352770318202,1.63409014784161,1.70942601801377,1.44564722464488,1.59317603298388,1.78768432496148,1.9478968588988,2.09565316231613,2.16565864780666,2.33109656869715,2.24986682603394,2.1521419402292,2.36967273413444,2.46165074426797,2.0632648630096,2.42238159382283,2.49538651442312,2.43111040498238,2.48905865132108,2.37186018681075,2.59984175462233,2.72514954369429,2.70194504570398,2.61818485778481,2.69718864860461,2.75899031157789,2.74926402199794,2.85110481875843,2.97711259268681,3.10764576871194,3.23642548267174,3.39959195270315,3.5273251893026,3.65679088842169,3.84137339513526,4.1316711147896,4.15826703940926,4.35696474075253,4.55285550282156,4.38897154831232,4.20556851608182,4.40291874657648,4.52622457895907,4.66802401124828,4.67846078545749,4.50801097299504,4.32914034270985,4.11052457227716,4.14405384689966,4.27129359417533,4.28786573565107,4.29064117560677,3.87240097452171,3.66240898947164,5.56218215607817,3.93297398264696,4.75109336647404,4.88937590265549,5.14821493076908,4.9935984983498,4.49471511924636,5.18575222010497,5.22967099931529,5.48988502271193,5.22147048039234,5.81978530577835,5.37419735775107,5.00898410486938,5.08202427013789,4.31330035708386,4.42483034454974,4.25619963969946,4.11636750999768,3.89999965747387,3.72284029923611,3.46757884971352,3.26472002485605,2.91771903399103,3.17315836747487,2.96365264690284,3.34174080870368,2.72186424876704,2.98791524316325
1007,1,7,162235.375,1.83491001241793,1.5619931284862,1.3232511512199,1.41886448257146,1.51071147371238,1.56955668054856,1.80171913931163,1.88478314856789,1.59394527699453,1.75660795379685,1.97106938536092,2.14771691556833,2.31063042445435,2.38781724504174,2.570226195264,2.48066370556233,2.37291396031479,2.61275959874937,2.71417293966711,2.27491965364564,2.67087546306524,2.75136940820236,2.68049969716908,2.74439241732034,2.61517144570803,2.8665399241723,3.00470209482976,2.97911722229229,2.88676470802884,2.97387290226538,3.04201433201902,3.03129029570203,3.14357817218699,3.28251213387122,3.42643572454353,3.56842597869378,3.74833046703416,3.88916689359939,4.03191350295587,4.23543093776032,4.55550811238291,4.58483231244509,4.80391291330438,5.01989863214633,4.8392030580035,4.63698609107916,4.85458099421192,4.99053584253281,5.14688140978101,5.15838881399017,4.97045384001623,4.77323421999023,4.53219230546415,4.5691610956465,4.70945340953785,4.72772556209666,4.7307857135178,5.09248130854578,4.45755017304248,5.47689705834635,5.13452128987012,5.11216008574983,5.11739973240327,5.88104012382515,4.80881971508328,5.29966800866389,5.7468361437679,5.97038136832182,5.80504076743348,5.61357336694453,6.46336447266006,6.68980037644786,5.1492992735771,5.33557615176487,4.85357595985365,4.64270822569061,4.56843367379318,3.8680961872734,3.75859343792289,4.06388682680181,4.63588341954336,3.64473491230028,2.9192908352161,2.83982500465967,3.59492184013449,3.75804357631232,3.33212451524632,3.5116345831143
1009,1,9,168509.562,1.57580423143458,1.34142566375602,1.13639619884971,1.21850806869928,1.29738543941768,1.34792117430634,1.54730020784108,1.61863483263472,1.36886588179511,1.50855912705884,1.69273667748424,1.84443998919406,1.98434864679747,2.05063599477064,2.20728716222108,2.13037170081176,2.03783718775772,2.24381446695862,2.33090733290877,1.95368055769919,2.29372384904421,2.36285132586514,2.30198905481589,2.35685954878608,2.24588573945553,2.46175873013768,2.58041116086878,2.55843910222154,2.47912759278778,2.55393532730425,2.612454574905,2.60324486887473,2.69967668825896,2.81899192618907,2.94259221266079,3.06453216709898,3.21903252518863,3.33998158286431,3.46257108835753,3.63735003270095,3.91222943427512,3.93741279380158,4.12555724531307,4.31104383995652,4.15586410448788,3.9822019902748,4.16907053792819,4.28582734007011,4.42009550840993,4.42997796374719,4.26858109675183,4.09921065915235,3.89220602879298,3.92395449362564,4.04443627222601,4.06012823266262,4.0627562632067,5.1732575331068,4.92281178420674,6.37673281505017,4.87048253226531,5.4447314810526,5.71193297129199,5.4068266489608,5.91142468944444,6.05873007647151,6.7376730669309,7.4117391025424,5.94884339404655,6.85056438248377,7.17597659469462,7.18090062509048,6.45174554537754,5.92435323901458,5.51931288061229,4.4570164848302,4.8953223691821,4.38965180858643,4.0704572624719,4.03542113580086,3.48682653976045,4.23071228758413,3.29453271088232,3.31151579555712,3.44438876101845,3.30325240084999,3.03460193182293,2.8843239068985
1011,1,11,161913.11,1.86890113812657,1.59092855552463,1.34776395888939,1.44514849686329,1.53869692436932,1.59863221998881,1.83509541462842,1.91969815829748,1.62347260744471,1.7891485587171,2.00758282024592,2.18750268989492,2.35343411983576,2.43205080178087,2.61783881992222,2.52661721351966,2.4168714384336,2.66116014121004,2.76445213208682,2.31706181832991,2.72035258347048,2.80233765339814,2.73015510345704,2.79523141597404,2.66361666686826,2.9196416666294,3.06036324765534,3.03430442347295,2.94024110818896,3.02896295408172,3.09836668219825,3.08744398651154,3.20181196027611,3.34331962951267,3.48990935903096,3.63452993758162,3.81776709947948,3.96121247615524,4.10660342115232,4.3138909518544,4.63989745456689,4.66976487612978,4.89290387559921,5.11289066134403,4.92884775903027,4.7228847869631,4.94451056662708,5.08298393537061,5.24222575463899,5.25394632985948,5.06252992013002,4.86165686922667,4.61614972972375,4.65380335501293,4.79669453950021,4.81530517788687,4.81842201764202,4.22093313151756,4.17973754494837,5.62283200152905,4.01843292048778,4.91315739060271,5.02904645891306,5.26137765708549,4.84710429294739,4.90002414119152,5.2053542441445,5.48216796485914,5.23590046028986,5.56350792736719,5.75235597399001,5.27464078365339,4.76166822929627,5.08606190399295,4.23026353848884,4.28545200443805,4.28444843071023,4.10270177331226,3.76797900932051,3.77047815204333,3.53370853832822,3.34061428744564,2.92737718825599,3.03452982040162,3.0168269111755,3.22574578828,2.70854610838789,3.11717610409919
1013,1,13,201457.722,1.80601161683026,1.53739296007101,1.30241098196311,1.39651847823057,1.4869189511959,1.54483739211218,1.77334347398018,1.85509929014668,1.56884188726537,1.72894275430602,1.9400265862899,2.1138920562475,2.274239804963,2.35021099357913,2.52974714569871,2.44159519506418,2.33554242391432,2.57161068139149,2.67142684161707,2.23909145082572,2.62881126636094,2.70803749490528,2.63828392631538,2.70117038616526,2.57398454364952,2.82139416545065,2.95738039012935,2.93219845929619,2.84130042480157,2.92703673320233,2.99410498880595,2.98354984766186,3.09406927803643,3.2308151386377,3.37247204547838,3.51222606433302,3.68929719788387,3.82791556103427,3.96841402309303,4.16872621769488,4.48376242750272,4.51262479438073,4.72825504736118,4.94083916029214,4.76298939992065,4.56395719184833,4.77812514567784,4.911938811618,5.06582205863242,5.07714823023793,4.89217308491275,4.69805951943906,4.46081382628191,4.49720038697297,4.63528320679796,4.65326758726478,4.65627954369776,4.77378532738542,4.624054594746,5.26769723610073,4.35963581955718,4.89378985352476,6.13431445804732,5.93037518407897,4.74723764926149,5.22034235080404,5.50842898441372,5.80806350557478,6.11137768940301,5.72445681061846,5.37757453985617,5.32639154085251,4.42305331839502,4.726301758523,4.08080938671816,4.12647344507102,4.29589070123686,4.05430162779882,3.50399694469867,3.71831822587011,3.70385840209157,3.34482860251072,3.05581837316682,3.03054570322451,3.2295032221338,3.42025554698446,3.15141337850819,3.50799029391745
1015,1,15,158561.122,1.36376116071622,1.1609209974979,0.983480668639844,1.05454341660105,1.12280690549093,1.16654246038703,1.3390926901502,1.40082839866474,1.18466881011116,1.30556467934717,1.46495896509379,1.59624880448808,1.71733109978929,1.77469870219152,1.9102706048988,1.8437050272489,1.76362212582529,1.94188272937022,2.01725622157753,1.69078976429133,1.98507621463058,2.04490177300015,1.99222923934766,2.03971626029426,1.94367528768946,2.13050001786039,2.23318636266626,2.21417090401578,2.14553169490219,2.21027316520643,2.26091795688819,2.25294752557754,2.33640330473462,2.43966326820265,2.54663167632152,2.65216316969168,2.78587367984026,2.89054761331051,2.99664125296958,3.14790162608683,3.3857927576562,3.40758739872482,3.57041479216445,3.73094197476883,3.59664350549153,3.44634967982002,3.60807285733499,3.7091186527671,3.82531945325337,3.83387210750611,3.6941930951778,3.54761345034374,3.36846373787247,3.39594007178974,3.50020960410316,3.51379002592971,3.51606442392516,4.72343783294943,4.33528346551365,5.97403498522078,4.75309955100482,5.34072607842215,6.28522804891989,5.63159737749765,5.44677843826048,5.57999387077216,6.60829861309646,6.72154378516886,5.57675302979992,6.42106870446789,7.68684933232873,6.83261101195707,6.76203537720015,6.10561737944757,5.09545630641545,5.04736562412141,5.2773481052997,4.69147625091192,4.35268023775463,3.82332567386814,3.6830677522088,4.0126954227027,3.36544778586171,3.59086050880089,3.65861026758558,3.44809328170305,3.0822178018227,3.06094827009051
1017,1,17,156222.119,1.8602508226439,1.58356485199055,1.3415257565561,1.43845954464311,1.53157497791829,1.59123285960449,1.82660157086457,1.91081272591051,1.61595827191066,1.78086738259573,1.99829060868993,2.17737770896321,2.34254111581915,2.42079391596915,2.6057220036749,2.51492262167903,2.40568481117067,2.64884280975695,2.75165670776425,2.30633716558477,2.70776127642323,2.78936687377994,2.71751842488709,2.78229352798096,2.65128796524609,2.90612793869728,3.04619818186148,3.0202599724327,2.926632034567,3.01494322633712,3.08402571534065,3.07315357597375,3.18699219105047,3.3278448839712,3.47375611456786,3.61770730852442,3.80009634677024,3.9428777783408,4.08759577305876,4.29392386160545,4.61842142463122,4.64815060313036,4.87025679101736,5.08922535538069,4.90603430613443,4.70102464542749,4.92162461753318,5.05945705439372,5.21796181382164,5.22962813969142,5.03909771172896,4.83915441319551,4.59478361748662,4.63226296082413,4.77449276531634,4.79301726330206,4.79611967658667,5.09531618774934,4.22881184337312,5.61008340616423,4.54086346460237,5.79053468978194,5.26870017517354,4.8067426056655,5.01503628466393,4.80084873097516,5.00844407373062,5.79651426713205,5.650198982002,5.42822649386072,7.47923236653505,6.43711238186415,6.06369883745237,5.87938631747025,4.87179785722111,5.12313466026118,4.99612001876783,4.6526383956825,4.24535169711811,3.77792702363088,3.82211751639096,3.87444906426414,3.24068458542438,3.14582917163538,3.18434584418008,3.3548015563987,2.86840371337048,3.15751887892568
1019,1,19,155384.303,1.48709642153494,1.26591188456872,1.07242428154723,1.14991377255315,1.22435084626797,1.2720417389648,1.46019699415705,1.52751593082826,1.29180739191542,1.42363679115188,1.59744631057127,1.74060968548701,1.87264237071109,1.93519816031841,2.08303085799606,2.01044525050699,1.92311984517675,2.11750190654379,2.19969199507896,1.84370070102675,2.16460170613814,2.22983774330538,2.17240163310948,2.22418326537267,2.11945657950173,2.32317728639259,2.43515033585318,2.41441516511543,2.33956839194863,2.4101649242357,2.46538990838159,2.45669865054144,2.54770196850933,2.66030051331646,2.77694288553896,2.89201839191839,3.03782135719652,3.15196174803287,3.2676502398519,3.43259023525738,3.69199566537383,3.71576136106556,3.89331447013399,4.06835934286279,3.92191524485446,3.7580292091079,3.93437823963424,4.04456237240374,4.17127209222878,4.18059822784567,4.0282869834868,3.86845103010908,3.6730994509549,3.7030606780541,3.81676009467114,3.83156869700044,3.83404878604946,4.49829906123687,4.26910974264004,6.63404449624495,5.35639256171571,5.48845224688943,6.42941880013458,5.50080669336085,6.02563054847556,5.43133454177352,7.1417967450637,7.11525942634849,5.68591719369994,6.34834552336503,7.3844404235485,6.23992463710623,6.66044576851679,5.89710473456053,4.57344821388302,4.78437338961257,5.10687686006563,4.39251351630043,4.11274952224956,3.65617326008522,3.62634775279368,3.92704480918364,3.23583445132196,3.34444790536707,3.28146056559953,3.00537339394743,2.95683397894556,2.83723749220371
